"","hour","day","month","year","mw"
"35488",15,18,1,2020,4933.362
"35489",16,18,1,2020,4952.091
"35490",17,18,1,2020,5028.722
"35491",18,18,1,2020,4998.836
"35492",19,18,1,2020,4895.847
"35493",20,18,1,2020,4800.833
"35494",21,18,1,2020,4641.609
"35495",22,18,1,2020,4484.431
"35496",23,18,1,2020,4353.173
"35497",0,19,1,2020,4221.973
"35498",1,19,1,2020,4187.221
"35499",2,19,1,2020,4177.319
"35500",3,19,1,2020,4206.125
"35501",4,19,1,2020,4292.893
"35502",5,19,1,2020,4431.977
"35503",6,19,1,2020,4626.917
"35504",7,19,1,2020,4870.861
"35505",8,19,1,2020,5091.519
"35506",9,19,1,2020,5181.761
"35507",10,19,1,2020,5112.922
"35508",11,19,1,2020,5069.619
"35509",12,19,1,2020,5038.129
"35510",13,19,1,2020,5015.602
"35511",14,19,1,2020,5004.905
"35512",15,19,1,2020,5080.168
"35513",16,19,1,2020,5264.337
"35514",17,19,1,2020,5588.757
"35515",18,19,1,2020,5832.143
"35516",19,19,1,2020,5889.818
"35517",20,19,1,2020,5883.733
"35518",21,19,1,2020,5858.351
"35519",22,19,1,2020,5737.685
"35520",23,19,1,2020,5634.948
"35521",0,20,1,2020,5618.537
"35522",1,20,1,2020,5655.329
"35523",2,20,1,2020,5703.077
"35524",3,20,1,2020,5809.379
"35525",4,20,1,2020,5963.359
"35526",5,20,1,2020,6208.538
"35527",6,20,1,2020,6527.729
"35528",7,20,1,2020,6790.047
"35529",8,20,1,2020,6823.107
"35530",9,20,1,2020,6718.01
"35531",10,20,1,2020,6535.123
"35532",11,20,1,2020,6351.257
"35533",12,20,1,2020,6154.664
"35534",13,20,1,2020,5981.415
"35535",14,20,1,2020,5861.396
"35536",15,20,1,2020,5831.828
"35537",16,20,1,2020,5940.268
"35538",17,20,1,2020,6240.81
"35539",18,20,1,2020,6516.243
"35540",19,20,1,2020,6577.394
"35541",20,20,1,2020,6569.837
"35542",21,20,1,2020,6510.754
"35543",22,20,1,2020,6372.94
"35544",23,20,1,2020,6204.491
"35545",0,21,1,2020,6141.959
"35546",1,21,1,2020,6127.093
"35547",2,21,1,2020,6169.365
"35548",3,21,1,2020,6238.581
"35549",4,21,1,2020,6375.647
"35550",5,21,1,2020,6651.725
"35551",6,21,1,2020,7027.237
"35552",7,21,1,2020,7229.669
"35553",8,21,1,2020,7118.108
"35554",9,21,1,2020,6829.221
"35555",10,21,1,2020,6583.53
"35556",11,21,1,2020,6344.082
"35557",12,21,1,2020,6035.713
"35558",13,21,1,2020,5816.755
"35559",14,21,1,2020,5598.484
"35560",15,21,1,2020,5475.711
"35561",16,21,1,2020,5561.653
"35562",17,21,1,2020,5901.537
"35563",18,21,1,2020,6279.669
"35564",19,21,1,2020,6420.651
"35565",20,21,1,2020,6520.703
"35566",21,21,1,2020,6504.472
"35567",22,21,1,2020,6336.916
"35568",23,21,1,2020,6260.029
"35569",0,22,1,2020,6238.915
"35570",1,22,1,2020,6264.809
"35571",2,22,1,2020,6357.102
"35572",3,22,1,2020,6453.088
"35573",4,22,1,2020,6616.39
"35574",5,22,1,2020,6910.302
"35575",6,22,1,2020,7325.481
"35576",7,22,1,2020,7541.65
"35577",8,22,1,2020,7339.337
"35578",9,22,1,2020,6842.872
"35579",10,22,1,2020,6286.329
"35580",11,22,1,2020,5806.298
"35581",12,22,1,2020,5453.138
"35582",13,22,1,2020,5169.262
"35583",14,22,1,2020,4968.574
"35584",15,22,1,2020,4896.039
"35585",16,22,1,2020,5019.743
"35586",17,22,1,2020,5303.237
"35587",18,22,1,2020,5658.365
"35588",19,22,1,2020,5752.671
"35589",20,22,1,2020,5824.216
"35590",21,22,1,2020,5761.867
"35591",22,22,1,2020,5602.504
"35592",23,22,1,2020,5493.363
"35593",0,23,1,2020,5431.914
"35594",1,23,1,2020,5420.711
"35595",2,23,1,2020,5457.368
"35596",3,23,1,2020,5508.389
"35597",4,23,1,2020,5638.831
"35598",5,23,1,2020,5865.565
"35599",6,23,1,2020,6238.846
"35600",7,23,1,2020,6423.989
"35601",8,23,1,2020,6323.126
"35602",9,23,1,2020,6105.345
"35603",10,23,1,2020,5790.368
"35604",11,23,1,2020,5477.699
"35605",12,23,1,2020,5277.282
"35606",13,23,1,2020,5132.094
"35607",14,23,1,2020,5028.538
"35608",15,23,1,2020,4955.955
"35609",16,23,1,2020,5040.696
"35610",17,23,1,2020,5288.125
"35611",18,23,1,2020,5481.486
"35612",19,23,1,2020,5527.023
"35613",20,23,1,2020,5519.54
"35614",21,23,1,2020,5343.11
"35615",22,23,1,2020,5132.71
"35616",23,23,1,2020,4911.272
"35617",0,24,1,2020,4727.942
"35618",1,24,1,2020,4599.203
"35619",2,24,1,2020,4552.499
"35620",3,24,1,2020,4576.959
"35621",4,24,1,2020,4638.448
"35622",5,24,1,2020,4863.299
"35623",6,24,1,2020,5231.501
"35624",7,24,1,2020,5448.838
"35625",8,24,1,2020,5415.484
"35626",9,24,1,2020,5372.189
"35627",10,24,1,2020,5313.519
"35628",11,24,1,2020,5245.598
"35629",12,24,1,2020,5170.13
"35630",13,24,1,2020,5068.15
"35631",14,24,1,2020,4982.399
"35632",15,24,1,2020,4949.89
"35633",16,24,1,2020,4991.255
"35634",17,24,1,2020,5093.982
"35635",18,24,1,2020,5061.124
"35636",19,24,1,2020,4990.064
"35637",20,24,1,2020,4862.554
"35638",21,24,1,2020,4734.098
"35639",22,24,1,2020,4563.038
"35640",23,24,1,2020,4376.843
"35641",0,25,1,2020,4243.422
"35642",1,25,1,2020,4151.173
"35643",2,25,1,2020,4119.228
"35644",3,25,1,2020,4116.997
"35645",4,25,1,2020,4157.062
"35646",5,25,1,2020,4263.4
"35647",6,25,1,2020,4452.678
"35648",7,25,1,2020,4645.339
"35649",8,25,1,2020,4782.325
"35650",9,25,1,2020,4838.006
"35651",10,25,1,2020,4816.032
"35652",11,25,1,2020,4769.457
"35653",12,25,1,2020,4713.805
"35654",13,25,1,2020,4660.197
"35655",14,25,1,2020,4664.876
"35656",15,25,1,2020,4680.838
"35657",16,25,1,2020,4745.674
"35658",17,25,1,2020,4942.136
"35659",18,25,1,2020,5107.642
"35660",19,25,1,2020,5093.977
"35661",20,25,1,2020,5088.367
"35662",21,25,1,2020,4993.632
"35663",22,25,1,2020,4858.649
"35664",23,25,1,2020,4737.523
"35665",0,26,1,2020,4625.203
"35666",1,26,1,2020,4590.788
"35667",2,26,1,2020,4576.25
"35668",3,26,1,2020,4596.369
"35669",4,26,1,2020,4647.815
"35670",5,26,1,2020,4734.436
"35671",6,26,1,2020,4861.551
"35672",7,26,1,2020,5031.211
"35673",8,26,1,2020,5204.772
"35674",9,26,1,2020,5230.549
"35675",10,26,1,2020,5129.505
"35676",11,26,1,2020,5009.729
"35677",12,26,1,2020,4935.6
"35678",13,26,1,2020,4819.465
"35679",14,26,1,2020,4740.914
"35680",15,26,1,2020,4686.469
"35681",16,26,1,2020,4753.499
"35682",17,26,1,2020,4954.859
"35683",18,26,1,2020,5213.824
"35684",19,26,1,2020,5304.95
"35685",20,26,1,2020,5318.24
"35686",21,26,1,2020,5251.07
"35687",22,26,1,2020,5142.702
"35688",23,26,1,2020,5016.712
"35689",0,27,1,2020,4956.147
"35690",1,27,1,2020,4947.983
"35691",2,27,1,2020,4954.375
"35692",3,27,1,2020,4941.825
"35693",4,27,1,2020,5021.094
"35694",5,27,1,2020,5244.841
"35695",6,27,1,2020,5620.007
"35696",7,27,1,2020,5810.32
"35697",8,27,1,2020,5794.579
"35698",9,27,1,2020,5689.302
"35699",10,27,1,2020,5541.818
"35700",11,27,1,2020,5399.184
"35701",12,27,1,2020,5288.136
"35702",13,27,1,2020,5169.514
"35703",14,27,1,2020,5073.529
"35704",15,27,1,2020,5007.863
"35705",16,27,1,2020,5048.233
"35706",17,27,1,2020,5219.04
"35707",18,27,1,2020,5434.461
"35708",19,27,1,2020,5398.884
"35709",20,27,1,2020,5398.314
"35710",21,27,1,2020,5286.391
"35711",22,27,1,2020,5077.882
"35712",23,27,1,2020,4881.839
"35713",0,28,1,2020,4736.665
"35714",1,28,1,2020,4691.214
"35715",2,28,1,2020,4676.486
"35716",3,28,1,2020,4704.39
"35717",4,28,1,2020,4816.841
"35718",5,28,1,2020,5092.357
"35719",6,28,1,2020,5481.993
"35720",7,28,1,2020,5680.734
"35721",8,28,1,2020,5617.232
"35722",9,28,1,2020,5547.379
"35723",10,28,1,2020,5481.866
"35724",11,28,1,2020,5387.181
"35725",12,28,1,2020,5306.124
"35726",13,28,1,2020,5221.75
"35727",14,28,1,2020,5109.601
"35728",15,28,1,2020,5068.144
"35729",16,28,1,2020,5125.425
"35730",17,28,1,2020,5342.6
"35731",18,28,1,2020,5571.577
"35732",19,28,1,2020,5627.262
"35733",20,28,1,2020,5626.479
"35734",21,28,1,2020,5469.302
"35735",22,28,1,2020,5262.382
"35736",23,28,1,2020,5087.724
"35737",0,29,1,2020,4980.022
"35738",1,29,1,2020,4966.148
"35739",2,29,1,2020,5011.598
"35740",3,29,1,2020,5083.614
"35741",4,29,1,2020,5188.791
"35742",5,29,1,2020,5462.041
"35743",6,29,1,2020,5860.378
"35744",7,29,1,2020,6053.385
"35745",8,29,1,2020,5996.61
"35746",9,29,1,2020,5853.436
"35747",10,29,1,2020,5675.367
"35748",11,29,1,2020,5493.869
"35749",12,29,1,2020,5297.886
"35750",13,29,1,2020,5161.878
"35751",14,29,1,2020,5059.226
"35752",15,29,1,2020,4979.307
"35753",16,29,1,2020,5052.188
"35754",17,29,1,2020,5271.383
"35755",18,29,1,2020,5514.86
"35756",19,29,1,2020,5598.448
"35757",20,29,1,2020,5565.014
"35758",21,29,1,2020,5455.311
"35759",22,29,1,2020,5257.458
"35760",23,29,1,2020,5060.412
"35761",0,30,1,2020,4918.672
"35762",1,30,1,2020,4866.921
"35763",2,30,1,2020,4871.541
"35764",3,30,1,2020,4894.708
"35765",4,30,1,2020,5005.095
"35766",5,30,1,2020,5238.73
"35767",6,30,1,2020,5612.001
"35768",7,30,1,2020,5760.986
"35769",8,30,1,2020,5727.229
"35770",9,30,1,2020,5695.59
"35771",10,30,1,2020,5626.554
"35772",11,30,1,2020,5506.624
"35773",12,30,1,2020,5377.644
"35774",13,30,1,2020,5280.782
"35775",14,30,1,2020,5172.343
"35776",15,30,1,2020,5104.036
"35777",16,30,1,2020,5149.087
"35778",17,30,1,2020,5321.605
"35779",18,30,1,2020,5468.42
"35780",19,30,1,2020,5454.74
"35781",20,30,1,2020,5458.315
"35782",21,30,1,2020,5364.384
"35783",22,30,1,2020,5161.445
"35784",23,30,1,2020,4977.861
"35785",0,31,1,2020,4836.913
"35786",1,31,1,2020,4778.334
"35787",2,31,1,2020,4769.866
"35788",3,31,1,2020,4796.571
"35789",4,31,1,2020,4895.638
"35790",5,31,1,2020,5138.525
"35791",6,31,1,2020,5512.183
"35792",7,31,1,2020,5736.285
"35793",8,31,1,2020,5706.596
"35794",9,31,1,2020,5622.039
"35795",10,31,1,2020,5499.204
"35796",11,31,1,2020,5385.902
"35797",12,31,1,2020,5292.36
"35798",13,31,1,2020,5273.496
"35799",14,31,1,2020,5209.324
"35800",15,31,1,2020,5133.205
"35801",16,31,1,2020,5164.038
"35802",17,31,1,2020,5249.762
"35803",18,31,1,2020,5365.174
"35804",19,31,1,2020,5327.219
"35805",20,31,1,2020,5290.954
"35806",21,31,1,2020,5203.803
"35807",22,31,1,2020,5040.88
"35808",23,31,1,2020,4860.047
"35809",0,1,2,2020,4732.037
"35810",1,1,2,2020,4665.671
"35811",2,1,2,2020,4657.949
"35812",3,1,2,2020,4680.293
"35813",4,1,2,2020,4725.482
"35814",5,1,2,2020,4819.149
"35815",6,1,2,2020,4991.188
"35816",7,1,2,2020,5144.849
"35817",8,1,2,2020,5234.169
"35818",9,1,2,2020,5144.904
"35819",10,1,2,2020,5030.457
"35820",11,1,2,2020,4895.94
"35821",12,1,2,2020,4758.457
"35822",13,1,2,2020,4639.043
"35823",14,1,2,2020,4584.125
"35824",15,1,2,2020,4593.77
"35825",16,1,2,2020,4668.623
"35826",17,1,2,2020,4818.241
"35827",18,1,2,2020,4929.302
"35828",19,1,2,2020,4930.658
"35829",20,1,2,2020,4900.816
"35830",21,1,2,2020,4833.332
"35831",22,1,2,2020,4717.701
"35832",23,1,2,2020,4578.28
"35833",0,2,2,2020,4473.402
"35834",1,2,2,2020,4420.999
"35835",2,2,2,2020,4402.303
"35836",3,2,2,2020,4442.741
"35837",4,2,2,2020,4479.604
"35838",5,2,2,2020,4592.588
"35839",6,2,2,2020,4752.213
